temp,wind_speed,precip_prob,visibility,humidity,is_day,wind_gust,gust_delta,apparent_temp,ride_score
74.1,11.8,10.7,10.0,21.2,1.0,23.4,11.6,74.1,97.2
66.0,6.0,10.5,8.17,50.7,0.0,13.5,7.5,66.0,75.9
61.7,6.9,18.4,8.58,59.3,1.0,13.2,6.3,61.7,77.3
50.4,5.8,63.9,4.19,74.1,1.0,9.3,3.4,50.4,46.9
59.8,17.2,0.0,8.81,55.4,1.0,24.9,7.8,59.8,77.5
77.6,7.3,0.0,9.97,55.5,1.0,9.4,2.2,77.6,100.0
67.0,4.6,12.8,6.6,38.2,0.0,7.6,3.0,67.0,77.2
88.5,8.4,0.0,9.28,55.8,1.0,11.0,2.6,94.2,82.4
44.1,9.2,35.5,8.44,61.4,1.0,11.7,2.6,39.0,41.5
56.2,13.8,88.2,3.37,92.8,1.0,22.7,8.8,56.2,35.7
50.2,8.4,16.0,9.65,80.1,0.0,13.3,4.9,50.2,51.3
58.9,17.2,83.5,7.36,100.0,1.0,23.5,6.3,58.9,40.1
47.4,3.3,38.9,0.88,93.2,0.0,6.9,3.6,46.5,6.3
65.8,27.4,17.5,8.13,45.3,1.0,40.1,12.6,65.8,50.5
32.7,15.9,21.0,8.29,85.3,1.0,25.2,9.3,22.2,12.7
75.6,9.8,1.1,9.42,45.2,1.0,17.4,7.6,75.6,100.0
67.3,9.3,0.0,9.44,49.7,0.0,13.5,4.2,67.3,78.5
46.2,10.2,61.2,9.36,78.4,1.0,13.8,3.6,41.3,36.2
62.3,8.4,3.4,10.0,49.5,0.0,12.4,4.0,62.3,78.0
79.8,4.1,1.2,10.0,42.3,1.0,5.5,1.4,79.8,88.5
79.9,8.4,8.1,10.0,37.9,1.0,11.5,3.1,79.9,90.9
51.0,8.5,34.0,6.74,90.4,1.0,12.8,4.3,51.0,55.6
77.9,8.1,3.9,10.0,61.7,1.0,10.2,2.2,77.9,99.4
67.9,8.1,28.7,10.0,41.1,1.0,12.5,4.4,67.9,87.6
31.6,8.3,44.7,5.25,41.2,1.0,11.8,3.6,24.2,13.6
50.5,9.9,37.7,10.0,55.3,1.0,16.3,6.3,50.5,65.7
64.1,16.5,80.5,3.87,100.0,1.0,22.0,5.5,64.1,32.2
63.3,6.9,21.8,9.88,81.6,1.0,10.2,3.2,63.3,85.0
78.2,7.8,0.8,8.04,38.5,0.0,18.5,10.7,78.2,69.6
72.7,15.3,0.0,9.35,57.4,1.0,21.9,6.5,72.7,87.6
68.6,25.9,16.1,7.17,24.8,0.0,35.1,9.2,68.6,47.3
69.4,4.3,0.0,9.69,50.3,1.0,7.8,3.4,69.4,99.7
61.5,10.9,29.8,8.16,35.3,1.0,16.3,5.3,61.5,74.1
98.6,9.7,30.3,7.66,66.0,1.0,12.8,3.1,131.5,5.831513600841258
73.4,6.4,15.7,8.38,55.0,0.0,8.9,2.5,73.4,69.0
51.1,10.5,44.2,3.04,89.3,1.0,14.0,3.5,51.1,35.1
71.9,13.3,11.2,9.92,32.9,1.0,18.0,4.6,71.9,98.3
56.4,10.3,56.2,6.48,85.1,1.0,16.7,6.4,56.4,60.7
60.5,10.8,7.4,9.52,40.0,1.0,14.7,3.9,60.5,88.1
95.7,3.6,0.0,8.94,90.4,0.0,6.4,2.8,151.1,5.604891971155613
59.2,8.6,38.9,6.43,72.4,1.0,13.1,4.5,59.2,73.0
64.6,16.9,0.0,6.86,26.8,1.0,24.2,7.2,64.6,90.4
55.0,35.9,89.1,0.1,98.8,0.0,53.1,17.2,55.0,3.9518974411479295
60.3,10.8,21.3,8.82,53.8,1.0,15.2,4.4,60.3,81.3
47.0,7.6,74.6,5.24,91.0,1.0,15.2,7.7,43.3,22.4
52.2,26.7,100.0,0.1,100.0,1.0,36.6,9.9,52.2,6.881982487819717
64.6,11.3,44.8,6.79,97.3,1.0,16.2,4.9,64.6,72.6
102.7,4.9,4.1,10.0,63.9,1.0,10.4,5.5,145.4,2.370860908106307
66.6,24.0,21.9,7.35,29.8,1.0,34.5,10.4,66.6,70.2
86.9,4.9,21.3,7.37,83.8,1.0,6.3,1.5,105.0,45.3
73.0,9.6,58.1,7.03,95.2,0.0,13.0,3.5,73.0,54.7
63.4,3.2,30.9,1.41,87.4,0.0,5.5,2.2,63.4,44.0
55.4,16.8,12.9,9.09,35.4,1.0,27.8,11.0,55.4,78.2
69.3,8.7,6.1,10.0,63.4,1.0,12.7,4.0,69.3,99.0
84.8,28.1,11.3,8.6,51.2,0.0,34.7,6.6,86.5,38.3
85.5,8.5,34.8,7.42,73.1,0.0,12.2,3.7,95.2,34.1
73.8,13.9,9.5,9.88,53.3,1.0,17.6,3.7,73.8,100.0
60.0,6.6,15.4,8.86,59.0,1.0,8.7,2.1,60.0,78.7
60.8,8.8,27.6,10.0,42.8,1.0,12.9,4.1,60.8,76.8
92.2,10.7,39.7,7.68,80.3,1.0,24.0,13.3,122.2,20.2
76.3,12.9,7.5,8.05,43.3,1.0,18.6,5.7,76.3,97.2
61.6,22.5,85.8,0.88,99.8,1.0,31.0,8.6,61.6,0.0
93.6,11.4,27.6,7.51,86.3,1.0,17.9,6.5,134.6,3.411997977934889
91.6,2.8,22.7,8.65,86.9,1.0,8.0,5.2,126.0,7.476351045724124
42.6,12.6,13.7,8.34,29.8,1.0,16.5,3.9,35.9,56.5
57.1,1.9,18.3,8.64,59.8,1.0,2.6,0.7,57.1,78.9
68.8,10.5,4.8,9.48,28.2,1.0,13.9,3.4,68.8,100.0
70.8,7.3,84.0,0.1,85.5,1.0,10.4,3.1,70.8,4.514408517358642
84.7,12.9,15.6,9.69,46.9,0.0,19.3,6.4,85.4,52.7
57.4,13.0,22.7,10.0,61.4,1.0,20.1,7.2,57.4,77.9
85.9,15.6,10.2,10.0,47.4,0.0,29.9,14.4,87.0,44.0
55.9,9.0,30.7,7.9,66.5,1.0,12.0,3.1,55.9,76.1
54.3,4.8,57.3,2.5,99.0,0.0,7.0,2.2,54.3,24.9
102.6,9.5,11.4,8.9,74.0,1.0,11.8,2.3,161.7,6.440778496329079
54.2,16.5,16.3,8.87,65.1,1.0,26.4,9.9,54.2,59.9
84.2,3.3,2.8,9.1,39.7,1.0,5.6,2.3,83.4,88.8
51.5,4.4,22.8,1.18,92.1,1.0,12.6,8.2,51.5,36.9
56.4,16.0,15.4,10.0,63.5,0.0,20.4,4.5,56.4,53.2
101.0,4.2,12.9,5.91,73.5,1.0,6.4,2.2,152.7,7.46564070207445
112.2,10.3,1.5,9.81,15.5,1.0,20.3,10.0,111.4,46.5
61.9,34.0,20.6,10.0,49.2,1.0,48.4,14.5,61.9,40.1
62.6,13.9,59.5,5.78,66.1,1.0,17.7,3.8,62.6,69.1
49.5,9.9,29.2,9.07,33.1,0.0,15.0,5.1,45.5,37.5
49.7,17.8,43.9,7.09,91.8,1.0,24.6,6.8,43.7,19.0
74.6,30.2,24.7,5.86,26.7,1.0,42.6,12.4,74.6,46.7
90.5,6.8,18.1,8.28,66.8,1.0,8.6,1.7,105.3,36.1
56.2,5.1,38.6,0.67,98.5,1.0,7.0,1.9,56.2,38.9
56.5,6.7,21.7,6.45,52.4,1.0,9.2,2.5,56.5,78.0
64.5,8.0,5.2,10.0,27.0,1.0,14.3,6.3,64.5,99.1
51.6,7.5,32.1,0.84,91.9,1.0,9.8,2.3,51.6,28.7
88.1,11.2,0.0,8.51,44.6,1.0,15.7,4.4,89.4,77.3
78.1,9.9,30.0,9.21,54.3,1.0,15.4,5.5,78.1,78.3
69.0,6.6,3.9,10.0,40.2,1.0,10.5,3.9,69.0,100.0
81.2,14.9,5.3,10.0,53.2,1.0,24.4,9.6,82.3,92.0
59.2,8.0,31.4,8.47,62.1,1.0,11.1,3.1,59.2,71.6
68.2,12.2,70.3,2.72,98.7,1.0,18.4,6.2,68.2,54.6
69.6,1.8,5.3,8.98,37.0,0.0,6.8,5.0,69.6,77.4
84.5,12.4,8.1,10.0,63.7,1.0,15.7,3.3,89.6,78.6
65.8,6.5,9.5,9.52,50.9,0.0,7.9,1.4,65.8,80.4
72.2,3.7,0.0,8.84,54.5,0.0,11.6,7.9,72.2,80.3
88.7,7.1,15.9,10.0,71.9,1.0,10.5,3.4,103.3,48.5
55.9,5.5,2.4,1.84,86.9,1.0,7.8,2.3,55.9,58.6
109.3,4.6,1.4,8.43,13.2,1.0,7.8,3.3,105.8,42.3
45.1,11.2,21.2,9.08,46.1,1.0,20.8,9.6,39.5,48.8
61.2,18.9,48.7,3.93,92.4,0.0,28.2,9.3,61.2,21.4
74.5,12.3,0.0,10.0,19.6,1.0,20.5,8.2,74.5,99.1
59.0,17.2,52.0,9.44,67.3,1.0,25.5,8.3,59.0,52.0
54.7,3.9,26.8,1.07,86.2,0.0,7.7,3.8,54.7,28.0
82.5,7.2,0.0,9.6,41.3,1.0,11.8,4.6,82.1,88.9
78.4,6.0,0.0,9.5,34.0,1.0,8.1,2.1,78.4,92.7
60.2,6.9,14.2,9.67,52.9,1.0,12.2,5.3,60.2,86.6
82.2,9.3,9.9,8.77,33.6,1.0,13.8,4.5,81.0,91.3
33.6,12.8,36.6,5.6,59.2,1.0,17.9,5.2,24.4,17.0
68.5,15.4,76.0,5.2,86.7,1.0,21.2,5.8,68.5,52.1
51.7,12.7,20.9,8.26,42.8,1.0,19.2,6.5,51.7,67.7
54.8,15.2,14.4,8.87,42.0,1.0,26.0,10.8,54.8,63.9
45.8,5.5,18.3,1.78,93.0,0.0,12.4,6.9,42.9,12.9
64.6,5.0,7.4,8.77,41.0,0.0,7.4,2.3,64.6,76.8
53.3,7.1,41.7,6.58,75.4,0.0,10.3,3.2,53.3,41.4
98.0,9.0,37.5,9.16,52.1,1.0,15.6,6.6,114.5,33.6
69.0,11.8,2.0,10.0,34.5,1.0,17.5,5.6,69.0,100.0
94.7,4.0,31.6,5.65,78.7,1.0,6.5,2.6,130.8,6.122906910864326
66.1,7.7,65.3,3.72,90.5,1.0,14.8,7.1,66.1,50.5
61.7,4.3,17.1,10.0,60.4,0.0,7.2,2.9,61.7,59.7
38.9,3.3,26.9,3.6,71.6,1.0,4.2,1.0,36.8,24.8
75.3,2.4,17.0,7.48,47.3,0.0,3.4,1.0,75.3,69.7
50.1,7.7,7.6,9.85,42.2,1.0,10.9,3.3,50.1,75.4
90.5,11.0,3.7,8.88,59.8,1.0,20.6,9.6,100.8,60.7
62.7,21.3,16.4,8.19,39.4,1.0,31.6,10.3,62.7,71.1
97.8,4.7,34.3,8.04,76.4,1.0,8.2,3.6,142.0,1.302327913649835
72.3,3.1,8.6,7.69,55.6,0.0,15.4,12.4,72.3,71.6
101.1,11.2,5.9,7.23,65.3,1.0,23.0,11.9,140.7,4.902366684292083
60.8,10.3,27.5,7.09,46.1,0.0,16.1,5.7,60.8,56.5
71.2,5.8,0.0,10.0,48.9,1.0,9.1,3.3,71.2,97.6
12.6,24.7,7.3,8.89,39.9,1.0,34.2,9.5,-7.1,6.343949211140091
48.9,15.6,0.0,7.53,62.1,1.0,20.5,5.0,43.0,45.7
47.5,11.4,55.6,5.64,69.5,1.0,23.3,11.9,42.5,32.3
42.5,10.9,0.0,6.77,60.4,0.0,16.2,5.3,36.4,45.4
54.8,11.7,15.8,9.78,30.8,0.0,18.1,6.5,54.8,55.3
71.6,7.2,2.4,9.78,56.1,1.0,9.9,2.7,71.6,100.0
55.2,6.3,63.2,4.0,80.7,1.0,10.2,3.9,55.2,51.3
74.1,7.1,0.0,9.72,38.0,1.0,10.5,3.4,74.1,99.5
100.4,9.6,28.9,7.51,74.8,0.0,13.6,4.1,151.7,1.1773060087595626
59.6,21.1,10.6,8.32,40.1,1.0,32.4,11.2,59.6,65.6
92.0,8.2,11.6,6.52,89.7,1.0,11.3,3.1,130.9,0.2773816338085311
98.2,8.9,29.9,9.21,70.0,1.0,13.0,4.1,135.1,6.443440344367833
82.3,8.5,18.0,9.66,32.5,1.0,12.4,3.9,80.9,82.2
52.4,9.2,45.9,4.54,79.3,1.0,16.2,7.0,52.4,48.2
98.6,6.1,0.0,8.72,85.8,1.0,10.9,4.8,160.1,5.67511057459509
84.7,37.2,76.9,1.33,100.0,0.0,52.5,15.3,106.3,0.0
55.7,10.6,24.9,10.0,49.8,1.0,13.4,2.7,55.7,78.0
76.9,3.3,7.2,10.0,57.0,1.0,5.2,2.0,76.9,99.8
44.5,9.6,48.0,3.47,67.1,1.0,12.9,3.3,39.4,20.6
72.9,5.2,9.9,9.56,73.4,0.0,11.5,6.3,72.9,79.5
60.5,9.1,62.0,4.16,89.2,1.0,12.2,3.2,60.5,54.9
45.7,6.1,17.5,1.63,90.6,0.0,8.8,2.8,42.5,17.0
69.3,9.6,13.3,8.68,45.2,0.0,14.2,4.6,69.3,79.0
63.7,6.9,21.8,7.28,91.3,0.0,12.8,5.9,63.7,65.7
76.4,6.3,9.4,10.0,51.8,1.0,8.3,2.0,76.4,100.0
69.1,7.7,16.3,9.64,58.2,0.0,10.3,2.6,69.1,68.8
70.2,6.7,2.3,10.0,39.6,1.0,8.9,2.2,70.2,100.0
61.7,6.8,39.1,6.48,71.5,1.0,8.6,1.8,61.7,73.1
89.0,2.2,45.9,7.94,85.7,1.0,3.9,1.8,114.1,19.3
73.8,5.3,6.5,9.45,51.9,1.0,7.8,2.6,73.8,99.4
77.7,8.2,17.5,9.82,64.7,1.0,10.3,2.1,77.7,91.3
98.9,5.3,25.7,9.45,71.1,1.0,8.1,2.8,139.6,6.389246242853092
58.6,6.5,19.1,7.27,54.7,1.0,10.8,4.3,58.6,78.4
89.0,5.9,7.2,9.03,57.8,1.0,11.0,5.1,96.2,62.2
62.9,17.5,61.3,5.49,90.9,1.0,23.4,5.9,62.9,50.4
50.4,17.5,23.6,8.77,57.2,1.0,26.0,8.4,50.4,54.9
57.5,0.2,34.4,2.17,88.5,0.0,1.5,1.3,57.5,40.7
58.9,16.1,24.6,1.22,75.9,1.0,21.5,5.4,58.9,42.9
58.5,10.4,12.3,9.33,43.5,1.0,19.9,9.5,58.5,86.8
70.6,9.7,7.9,9.89,51.8,0.0,17.4,7.7,70.6,78.3
53.6,15.4,33.0,7.08,79.5,1.0,20.3,4.8,53.6,49.1
70.0,8.3,2.9,9.79,34.9,1.0,11.8,3.5,70.0,100.0
71.2,5.4,6.7,9.86,36.0,1.0,7.4,2.0,71.2,98.9
51.1,14.0,51.9,3.85,81.1,1.0,19.3,5.3,51.1,36.9
47.4,5.9,20.9,10.0,55.4,1.0,10.6,4.7,44.7,51.9
61.3,10.0,17.2,7.33,39.5,1.0,18.6,8.6,61.3,80.4
73.0,8.9,0.0,10.0,32.5,0.0,10.9,2.0,73.0,76.1
77.7,11.8,7.4,10.0,55.1,1.0,23.4,11.6,77.7,98.7
76.7,10.1,5.9,10.0,31.1,1.0,15.2,5.0,76.7,100.0
75.3,3.4,3.8,9.19,69.5,1.0,6.4,3.0,75.3,98.7
83.0,9.4,15.2,9.76,42.6,1.0,14.4,5.0,82.7,79.2
63.1,8.4,7.0,10.0,57.9,0.0,17.9,9.5,63.1,78.1
65.9,9.1,10.5,10.0,46.4,1.0,15.0,5.9,65.9,98.7
53.9,2.9,54.0,0.49,100.0,0.0,4.1,1.2,53.9,5.0
83.1,13.9,13.7,9.16,58.6,1.0,22.2,8.2,85.8,82.7
57.3,4.6,8.0,10.0,35.2,1.0,8.1,3.6,57.3,89.6
62.7,18.3,34.8,5.66,99.1,1.0,30.1,11.8,62.7,59.3
54.8,4.1,17.7,8.77,49.5,1.0,6.5,2.4,54.8,71.5
67.6,3.6,8.2,9.61,75.6,1.0,4.9,1.3,67.6,100.0
55.4,40.9,27.6,9.95,57.2,1.0,57.0,16.1,55.4,24.4
53.3,11.5,12.4,7.25,39.2,1.0,17.1,5.5,53.3,80.0
56.6,2.4,49.9,0.29,94.9,1.0,3.7,1.3,56.6,16.8
